model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,1,10,128,0.4846605940001609
llama3.2:3b,CPU,1,10,128,2.0654428909983835
llama3.2:3b,GPU,2,10,128,0.6533958519994485
llama3.2:3b,CPU,2,10,128,1.6239121529997647
llama3.2:3b,GPU,3,10,128,0.6373929700002918
llama3.2:3b,CPU,3,10,128,1.6327847109987488
llama3.2:3b,GPU,4,10,128,0.45022753500052204
llama3.2:3b,CPU,4,10,128,1.7259929920001014
llama3.2:3b,GPU,5,10,128,0.6735055289991578
llama3.2:3b,CPU,5,10,128,1.6443829449999612
llama3.2:3b,GPU,1,12,128,2.256610930999159
llama3.2:3b,CPU,1,12,128,3.3789738599989505
llama3.2:3b,GPU,2,12,128,0.7690051030003815
llama3.2:3b,CPU,2,12,128,0.9894432370001596
llama3.2:3b,GPU,3,12,128,0.7555316269990726
llama3.2:3b,CPU,3,12,128,3.573726754000745
llama3.2:3b,GPU,4,12,128,0.7706668259997969
llama3.2:3b,CPU,4,12,128,3.1017436450001696
llama3.2:3b,GPU,5,12,128,0.8128093750001426
llama3.2:3b,CPU,5,12,128,2.7057409829994867
llama3.2:3b,GPU,1,14,128,0.5908827349994681
llama3.2:3b,CPU,1,14,128,1.600089237001157
llama3.2:3b,GPU,2,14,128,0.3820088840002427
llama3.2:3b,CPU,2,14,128,1.3259795970006962
llama3.2:3b,GPU,3,14,128,0.3814947780010698
llama3.2:3b,CPU,3,14,128,1.0356981420009106
llama3.2:3b,GPU,4,14,128,0.5520196510005917
llama3.2:3b,CPU,4,14,128,1.321825656999863
llama3.2:3b,GPU,5,14,128,0.2851143099996989
llama3.2:3b,CPU,5,14,128,1.2245408020007744
llama3.2:3b,GPU,1,16,128,0.6167880000011792
llama3.2:3b,CPU,1,16,128,2.842802795999887
llama3.2:3b,GPU,2,16,128,0.7052924349991372
llama3.2:3b,CPU,2,16,128,3.0005220689999987
llama3.2:3b,GPU,3,16,128,0.5152906120001717
llama3.2:3b,CPU,3,16,128,2.1879148539992457
llama3.2:3b,GPU,4,16,128,0.6098929640011193
llama3.2:3b,CPU,4,16,128,2.167411410000568
llama3.2:3b,GPU,5,16,128,0.5490792779983167
llama3.2:3b,CPU,5,16,128,3.152488648000144
llama3.2:3b,GPU,1,18,128,0.6287076770004205
llama3.2:3b,CPU,1,18,128,2.9981467070010694
llama3.2:3b,GPU,2,18,128,0.43097387499983597
llama3.2:3b,CPU,2,18,128,3.041056458001549
llama3.2:3b,GPU,3,18,128,0.7647134059989185
llama3.2:3b,CPU,3,18,128,5.70419472300091
llama3.2:3b,GPU,4,18,128,0.7761669680003251
llama3.2:3b,CPU,4,18,128,2.5817080850010825
llama3.2:3b,GPU,5,18,128,0.7802117819992418
llama3.2:3b,CPU,5,18,128,3.1653034659993864
llama3.2:3b,GPU,1,20,128,0.7194747689991345
llama3.2:3b,CPU,1,20,128,3.8165533100000175
llama3.2:3b,GPU,2,20,128,0.6994243720000668
llama3.2:3b,CPU,2,20,128,2.8849937630002387
llama3.2:3b,GPU,3,20,128,0.7071393320002244
llama3.2:3b,CPU,3,20,128,3.0564143039991905
llama3.2:3b,GPU,4,20,128,0.8509551400002238
llama3.2:3b,CPU,4,20,128,2.956098013999508
llama3.2:3b,GPU,5,20,128,0.7990035509992595
llama3.2:3b,CPU,5,20,128,2.848164414999701
llama3.2:3b,GPU,1,22,128,0.547646557999542
llama3.2:3b,CPU,1,22,128,2.615686316999927
llama3.2:3b,GPU,2,22,128,0.6575072220002767
llama3.2:3b,CPU,2,22,128,3.2712717429985787
llama3.2:3b,GPU,3,22,128,1.4478776939995441
llama3.2:3b,CPU,3,22,128,3.2724753209986375
llama3.2:3b,GPU,4,22,128,0.7863112129998626
llama3.2:3b,CPU,4,22,128,2.1037725520000095
llama3.2:3b,GPU,5,22,128,0.5486380429993005
llama3.2:3b,CPU,5,22,128,3.4568678600007843
llama3.2:3b,GPU,1,24,128,0.5954307820011309
llama3.2:3b,CPU,1,24,128,3.363612765000653
llama3.2:3b,GPU,2,24,128,1.220709982999324
llama3.2:3b,CPU,2,24,128,2.9398669879992667
llama3.2:3b,GPU,3,24,128,0.548741605000032
llama3.2:3b,CPU,3,24,128,3.2390352160000475
llama3.2:3b,GPU,4,24,128,0.6880970019992674
llama3.2:3b,CPU,4,24,128,3.131888230000186
llama3.2:3b,GPU,5,24,128,0.5538049610004236
llama3.2:3b,CPU,5,24,128,3.4902316380012053
llama3.2:3b,GPU,1,26,128,1.5495453260009526
llama3.2:3b,CPU,1,26,128,3.3521962439990602
llama3.2:3b,GPU,2,26,128,0.6672865399996226
llama3.2:3b,CPU,2,26,128,3.256734790998962
llama3.2:3b,GPU,3,26,128,0.6574700279998069
llama3.2:3b,CPU,3,26,128,2.2427620589987782
llama3.2:3b,GPU,4,26,128,0.7307677039989358
llama3.2:3b,CPU,4,26,128,2.6073000179985684
llama3.2:3b,GPU,5,26,128,0.710480990999713
llama3.2:3b,CPU,5,26,128,3.2790793309995934
llama3.2:3b,GPU,1,28,128,0.5684700830006477
llama3.2:3b,CPU,1,28,128,2.9858638559999235
llama3.2:3b,GPU,2,28,128,0.5914094449999538
llama3.2:3b,CPU,2,28,128,2.7489441350007837
llama3.2:3b,GPU,3,28,128,0.6946167090009112
llama3.2:3b,CPU,3,28,128,2.9582424740001443
llama3.2:3b,GPU,4,28,128,0.623299915001553
llama3.2:3b,CPU,4,28,128,2.9334362239987968
llama3.2:3b,GPU,5,28,128,0.779881677000958
llama3.2:3b,CPU,5,28,128,5.374141217000215
llama3.2:3b,GPU,1,30,128,0.6346335639991594
llama3.2:3b,CPU,1,30,128,3.5616526279991376
llama3.2:3b,GPU,2,30,128,0.7969046560010611
llama3.2:3b,CPU,2,30,128,3.3694850279989623
llama3.2:3b,GPU,3,30,128,0.6528714020005282
llama3.2:3b,CPU,3,30,128,2.4532302740008163
llama3.2:3b,GPU,4,30,128,0.7597818920003192
llama3.2:3b,CPU,4,30,128,3.3936218340004416
