model,run,words,model_size,CPU,GPU,speedup
llama3.1:8b,1,10,8b,3.467328530001396,0.4736045000008744,7.321147772022846
llama3.1:8b,1,12,8b,2.4795176930001617,0.4543080029998236,5.457790038096961
llama3.1:8b,1,14,8b,1.4141783360009867,0.7437854050003807,1.9013257405881243
llama3.1:8b,1,16,8b,2.6424174110015883,2.248318824000308,1.1752858993103492
llama3.1:8b,1,18,8b,3.1043138780005397,0.5569036649994814,5.574238549863791
llama3.1:8b,1,20,8b,3.0050801950001187,0.5674095150006906,5.296139940473965
llama3.1:8b,1,22,8b,3.1825159849995543,0.443159927999659,7.1814164231067465
llama3.1:8b,1,24,8b,3.3562463549988024,0.6056031139996776,5.541989922793873
llama3.1:8b,1,26,8b,3.3217860180011485,0.6166893469999195,5.386481920209953
llama3.1:8b,1,28,8b,2.4922421149985894,0.4367407070003537,5.706457115289166
llama3.1:8b,1,30,8b,9.80313232700064,0.4389147000001685,22.334937351145623
llama3.1:8b,1,32,8b,2.5064161959999183,0.3162089020006533,7.926456782658003
llama3.1:8b,1,34,8b,8.289510069000244,0.4657800330005557,17.797048996710327
llama3.1:8b,1,36,8b,4.980119567000656,0.442739279998932,11.248424957940642
llama3.1:8b,1,38,8b,3.288891271000466,0.3262890679998236,10.079685755828768
llama3.1:8b,1,40,8b,5.000075633000961,1.9235796939992724,2.5993597502609385
llama3.1:8b,1,42,8b,3.245576990999325,1.6709544490004191,1.9423491723193653
llama3.1:8b,1,44,8b,5.049554042998352,0.9238939259994368,5.4655127616906
llama3.1:8b,1,46,8b,4.800369537999359,0.9538964330004092,5.032380216477128
llama3.1:8b,1,48,8b,4.985692696000115,0.989746032999392,5.037345470222438
llama3.1:8b,1,50,8b,8.92156002899901,0.9987836069994956,8.93242536869502
llama3.1:8b,1,52,8b,4.97224489600012,1.0964943580002,4.534674400941344
llama3.1:8b,1,54,8b,5.0091218299985485,0.9443143699991196,5.304506623152647
llama3.1:8b,1,56,8b,5.000021034999008,0.973906970999451,5.133982180934432
llama3.1:8b,1,58,8b,5.204039767999348,0.9839743159991484,5.288796347001249
llama3.1:8b,1,60,8b,1.7949696270006823,0.332256256000619,5.4023651762251195
llama3.1:8b,1,62,8b,1.8355150719999076,0.9786311199986812,1.875594424181382
llama3.1:8b,1,64,8b,5.104457560999435,0.9736868059990228,5.242401899204289
llama3.1:8b,1,66,8b,4.791235320000851,0.9425105610007448,5.083481839093222
llama3.1:8b,1,68,8b,5.130566313999225,1.0143261100001837,5.058103368746266
llama3.1:8b,1,70,8b,5.102651443001378,0.3107659369998146,16.41959698756953
llama3.1:8b,1,72,8b,4.763813495999784,1.0256509330010886,4.644673292560372
llama3.1:8b,1,74,8b,5.026066841999636,0.4645517219996691,10.819176001253132
llama3.1:8b,1,76,8b,5.132072704000166,0.4461945230013953,11.50187292636068
llama3.1:8b,1,78,8b,4.935485687999972,0.9994898219993048,4.938004949492527
llama3.1:8b,1,80,8b,5.145111566998821,1.0060329000007189,5.114257761346716
llama3.1:8b,1,82,8b,5.392334589998427,1.041847451000649,5.175742940887675
llama3.1:8b,1,84,8b,6.953972655999678,1.161302758999227,5.988078993278536
llama3.1:8b,1,86,8b,5.490524180000648,1.0063436640011787,5.4559136966894215
llama3.1:8b,1,88,8b,5.903455609999583,1.10990910199871,5.318864039738675
llama3.1:8b,1,90,8b,5.982077370999832,1.1431633080010215,5.232915830250289
llama3.1:8b,1,92,8b,9.240236920000823,1.1644084109993855,7.935563529698429
llama3.1:8b,1,94,8b,5.474672575999648,1.128232721999666,4.852432010920943
llama3.1:8b,1,96,8b,5.2944132030006585,1.0608469859998877,4.990741617661738
llama3.1:8b,1,98,8b,2.8876454279998143,1.1173613339997246,2.584343434959533
llama3.1:8b,2,10,8b,1.9707401840005327,0.4555563519988936,4.326007474933242
llama3.1:8b,2,12,8b,1.8774638030008648,0.4353216559993598,4.312819675122309
llama3.1:8b,2,14,8b,5.669527657999424,1.2496905850002804,4.536745115990573
llama3.1:8b,2,16,8b,2.5061014559996693,0.3053317410012823,8.207798664434119
llama3.1:8b,2,18,8b,2.334045802999753,0.5221560600002704,4.4700157324585
llama3.1:8b,2,20,8b,7.995878080000693,0.4531532399996649,17.644976079188147
llama3.1:8b,2,22,8b,1.8722028869997305,0.6116837200006557,3.0607368249031106
llama3.1:8b,2,24,8b,1.8978035479995012,0.5938857490000373,3.1955701095622384
llama3.1:8b,2,26,8b,10.272620476000156,0.6085804989997996,16.879641219005833
llama3.1:8b,2,28,8b,1.862345147999804,0.4335020359994814,4.29604706170753
llama3.1:8b,2,30,8b,2.700070222001159,0.6424837790000311,4.202550025782096
llama3.1:8b,2,32,8b,1.8861092000006463,0.4269164559991623,4.417981957585508
llama3.1:8b,2,34,8b,1.7270018790004542,0.4309720009987359,4.007225237366452
llama3.1:8b,2,36,8b,4.712338113999067,0.3020069600006536,15.60340898762356
llama3.1:8b,2,38,8b,1.164710056998956,0.4280609819998062,2.720897502869073
llama3.1:8b,2,40,8b,1.864781876000052,0.3041676230004668,6.13077045349166
llama3.1:8b,2,42,8b,4.23501067899997,0.992062576000535,4.268894706292888
llama3.1:8b,2,44,8b,1.4268409039996186,0.9668245440007012,1.475801284579908
llama3.1:8b,2,46,8b,4.101257939999414,0.3827765819987689,10.714495433820986
llama3.1:8b,2,48,8b,4.336807857998792,0.916353041999173,4.732682338825811
llama3.1:8b,2,50,8b,4.161103824999373,0.9396084950003568,4.428550664601849
llama3.1:8b,2,52,8b,4.141406488000939,0.8949368720004713,4.627596222226899
llama3.1:8b,2,54,8b,7.289806700999179,0.9884430379988772,7.375039755206875
llama3.1:8b,2,56,8b,4.5116780970001855,0.9386473419999676,4.806574200047478
llama3.1:8b,2,58,8b,4.255848238999533,0.9702135190000264,4.386506841695964
llama3.1:8b,2,60,8b,1.1634597320007742,0.9526320429995394,1.2213107259518634
llama3.1:8b,2,62,8b,4.172507612000118,0.3487489440012723,11.964215759703906
llama3.1:8b,2,64,8b,4.534359100998699,0.4524979640009405,10.020728183849409
llama3.1:8b,2,66,8b,4.491462070000125,1.062077213999146,4.228941183181939
llama3.1:8b,2,68,8b,4.560915389000002,0.983385712999734,4.637971986685996
llama3.1:8b,2,70,8b,1.1993155439995462,1.0643838119995053,1.1267698084834306
llama3.1:8b,2,72,8b,4.393308768001589,1.020387037000546,4.305531733248821
llama3.1:8b,2,74,8b,4.458444837999195,0.9856591019997722,4.523313211386776
llama3.1:8b,2,76,8b,4.336910649999481,0.9934953190004308,4.36530557019927
llama3.1:8b,2,78,8b,4.514319375999548,0.9799019720012438,4.6069091653933505
llama3.1:8b,2,80,8b,4.779972582000482,0.8961075799998071,5.3341503728843715
llama3.1:8b,2,82,8b,4.54593879300046,1.2399665850007295,3.666178466412291
llama3.1:8b,2,84,8b,8.586762771999929,1.120450473999881,7.663670078469564
llama3.1:8b,2,86,8b,1.8064339280008423,1.0401244409986248,1.7367478897683462
llama3.1:8b,2,88,8b,1.343905691001055,1.0716080409983988,1.2541019100126956
llama3.1:8b,2,90,8b,2.2861170649994165,0.493071898999915,4.636478107221865
llama3.1:8b,2,92,8b,5.1054074019994005,1.119173649000004,4.5617651975286835
llama3.1:8b,2,94,8b,1.9436519430000767,1.0544622920006077,1.8432635834823732
llama3.1:8b,2,96,8b,4.630987934999212,0.986056419000306,4.696473594983792
llama3.1:8b,2,98,8b,4.503072847999647,1.07055249899895,4.206307352708411
llama3.1:8b,3,10,8b,1.9695781610007543,0.4491971549996378,4.384663035103912
llama3.1:8b,3,12,8b,1.9162138479987332,0.4334543999993911,4.420796854297534
llama3.1:8b,3,14,8b,5.676866220001102,0.2412041170009615,23.535527878151733
llama3.1:8b,3,16,8b,3.82090388999859,2.0758253580006567,1.8406673159049929
llama3.1:8b,3,18,8b,2.3830672210006014,0.5520719230007671,4.316588331548406
llama3.1:8b,3,20,8b,2.348421042999689,0.5472393889995146,4.291396215636393
llama3.1:8b,3,22,8b,2.7219890720007243,0.6137886939995951,4.434733155906779
llama3.1:8b,3,24,8b,2.746389296000416,0.6053772680006659,4.536657455062212
llama3.1:8b,3,26,8b,7.298207402000116,0.6015845619986067,12.131640110167954
llama3.1:8b,3,28,8b,5.829312758000015,0.4288746750007703,13.59211232976054
llama3.1:8b,3,30,8b,4.954499649998979,0.5496273799999472,9.014288280178938
llama3.1:8b,3,32,8b,1.8725519780000468,0.4323699830001715,4.330901893342823
llama3.1:8b,3,34,8b,1.1662027500005934,0.4302538800002367,2.7104990895142
llama3.1:8b,3,36,8b,8.919499581999844,1.0149658000009367,8.787980424553824
llama3.1:8b,3,38,8b,1.879328342000008,1.0021646419991157,1.8752690558420901
llama3.1:8b,3,40,8b,5.766621929999019,1.0081561990009504,5.719968726784154
llama3.1:8b,3,42,8b,7.567593247000332,0.9892768730005628,7.6496211056134
llama3.1:8b,3,44,8b,6.487661047000074,0.9967982260004646,6.508499792411398
llama3.1:8b,3,46,8b,4.675779693998265,1.0635404590011603,4.396428602621843
llama3.1:8b,3,48,8b,4.478761798998676,1.073881652000637,4.170628849701233
llama3.1:8b,3,50,8b,4.187355293999644,0.9567230619995826,4.376768429986348
llama3.1:8b,3,52,8b,4.358889420000196,0.978528813999219,4.454533538144412
llama3.1:8b,3,54,8b,8.0692456400011,0.9858373219994974,8.185169560871234
llama3.1:8b,3,56,8b,4.781347604000985,0.94393785200009,5.065320342721598
llama3.1:8b,3,58,8b,4.374291825999535,0.9747533290010324,4.487588496345522
llama3.1:8b,3,60,8b,4.402239967001151,0.4647937660010939,9.4713834156519
llama3.1:8b,3,62,8b,4.485930836999614,0.9393420090000292,4.77560972895813
llama3.1:8b,3,64,8b,4.504698356000517,1.0368147330009378,4.344747631972975
llama3.1:8b,3,66,8b,4.16418829399845,0.9908206240015716,4.202767073197141
llama3.1:8b,3,68,8b,4.766701623000699,0.9931864049995056,4.7994028099922215
llama3.1:8b,3,70,8b,1.1829983379993791,0.9899470630007272,1.1950117154885787
llama3.1:8b,3,72,8b,1.1674443179999798,0.9754300639997382,1.196850867209167
llama3.1:8b,3,74,8b,4.452466826000091,0.3062326239996764,14.53949212806535
llama3.1:8b,3,76,8b,3.9185962160008794,0.4533856100006233,8.642965567423925
llama3.1:8b,3,78,8b,4.314919780999844,0.9339102109988744,4.620272623836902
llama3.1:8b,3,80,8b,6.111471943000652,1.3122611480011983,4.657207105696519
llama3.1:8b,3,82,8b,4.514381381999556,1.0568604350009991,4.2715019244667705
llama3.1:8b,3,84,8b,4.570936656000413,0.4294476009999926,10.643758738800107
llama3.1:8b,3,86,8b,4.5127224200005,1.2610994810002012,3.578403201325067
llama3.1:8b,3,88,8b,5.364281760999802,1.094867444000556,4.899480563052597
llama3.1:8b,3,90,8b,4.587074909000876,0.393517143000281,11.656607572487891
llama3.1:8b,3,92,8b,4.809819451000294,1.1240296520008997,4.2790859141823105
llama3.1:8b,3,94,8b,4.564381629999843,1.14623180000126,3.9820755539977397
llama3.1:8b,3,96,8b,4.861315464999279,1.0204959169986978,4.763679485652937
llama3.1:8b,3,98,8b,1.650292124999396,1.018954433000545,1.619593645752865
llama3.1:8b,4,10,8b,2.003014226000232,2.202922810000018,0.909253023713625
llama3.1:8b,4,12,8b,1.9112173659996188,0.365499675999672,5.229053516319215
llama3.1:8b,4,14,8b,4.200785095001265,0.7383426279993728,5.689479295518657
llama3.1:8b,4,16,8b,2.0080627229999664,0.5209075490001851,3.8549311232946883
llama3.1:8b,4,18,8b,2.3350650089996634,0.5251454879999073,4.44651065725252
llama3.1:8b,4,20,8b,15.11766465599976,0.9123567679998814,16.569904653791887
llama3.1:8b,4,22,8b,1.891509998000401,0.4320993080000335,4.37748907017517
llama3.1:8b,4,24,8b,1.9009734089995616,0.623569077000866,3.0485370091514685
llama3.1:8b,4,26,8b,9.690509080999618,0.5928403610014357,16.34589970330335
llama3.1:8b,4,28,8b,1.943604858000981,0.9816674430003332,1.9799015153855126
llama3.1:8b,4,30,8b,1.1511864210006024,0.648561650999909,1.774983795643452
llama3.1:8b,4,32,8b,1.661853603000054,0.3017415779995644,5.507539312339823
llama3.1:8b,4,34,8b,1.9446055429998523,0.434173854000619,4.478863766395937
llama3.1:8b,4,36,8b,4.096973678000722,0.9110370239995972,4.497044104765751
llama3.1:8b,4,38,8b,1.651256615999955,0.4302261280008679,3.838113281666203
llama3.1:8b,4,40,8b,1.169461068999226,0.2999292290005542,3.8991233795258586
llama3.1:8b,4,42,8b,1.1684965830008878,0.8263570109993452,1.4140336046617188
llama3.1:8b,4,44,8b,4.359431319000578,1.030165133999617,4.231779134355947
llama3.1:8b,4,46,8b,8.290330234998692,0.948777493000307,8.737907777283255
llama3.1:8b,4,48,8b,4.322695773000305,0.9173214429993096,4.7123021117512005
llama3.1:8b,4,50,8b,1.4060210900006496,0.9927077100001044,1.416349521452293
llama3.1:8b,4,52,8b,4.74079616400013,0.9645665360003476,4.91494986303197
llama3.1:8b,4,54,8b,1.905352840998603,0.9404923660003988,2.0259099487446504
llama3.1:8b,4,56,8b,4.581557728999542,0.9513133439995728,4.816034336002754
llama3.1:8b,4,58,8b,4.705519224000454,0.9600234049994468,4.901463026313578
llama3.1:8b,4,60,8b,1.1809451640001498,0.300317149998591,3.9323267552508754
llama3.1:8b,4,62,8b,1.1845045080008276,0.9565742080012568,1.2382776977395478
llama3.1:8b,4,64,8b,4.482216200000039,0.4564014240004326,9.820776106947008
llama3.1:8b,4,66,8b,4.41236491699965,1.04223404899858,4.233564352689519
llama3.1:8b,4,68,8b,4.488977429999068,1.2640373759986687,3.5513011839958404
llama3.1:8b,4,70,8b,4.356075993999184,0.30376411799989,14.340324402636526
llama3.1:8b,4,72,8b,4.159413224000673,1.0276578209995932,4.047469049527449
llama3.1:8b,4,74,8b,4.113774641000418,1.0459898799999792,3.932900996136311
llama3.1:8b,4,76,8b,6.797073026000362,0.9454310380006063,7.189390608938314
llama3.1:8b,4,78,8b,4.47152913500031,0.915471100999639,4.884402282188559
llama3.1:8b,4,80,8b,4.944591494999258,1.1062216379996244,4.46980182374713
llama3.1:8b,4,82,8b,6.069099865999306,0.7623035029992025,7.961526927425985
llama3.1:8b,4,84,8b,4.5057935870008805,1.0844550940000772,4.154891808734092
llama3.1:8b,4,86,8b,4.62882436000109,0.4132236469995405,11.20174122079281
llama3.1:8b,4,88,8b,1.9382513239997932,1.1742927479990612,1.6505690998283697
llama3.1:8b,4,90,8b,2.1922813350010983,0.4821968689993809,4.5464445664078195
llama3.1:8b,4,92,8b,5.121214282000437,1.1520049680002558,4.445479337550305
llama3.1:8b,4,94,8b,4.527494869998918,1.171916313000111,3.8633260922945185
llama3.1:8b,4,96,8b,5.155306265000036,1.055919967000591,4.882288834488107
llama3.1:8b,4,98,8b,1.6117027359996428,1.0629201929987175,1.5162970339783426
llama3.1:8b,5,10,8b,2.2223415539992857,0.4576960430003964,4.855496541833465
llama3.1:8b,5,12,8b,2.048686160998841,0.4294323370013444,4.770684423312134
llama3.1:8b,5,14,8b,0.813158865999867,1.0400263739993534,0.7818636972377131
llama3.1:8b,5,16,8b,6.142242559000806,0.2392550849999679,25.672359519554746
llama3.1:8b,5,18,8b,2.59316670500084,0.528964516999622,4.902345283403372
llama3.1:8b,5,20,8b,1.9635507300008608,0.4639336220006953,4.232395836139503
llama3.1:8b,5,22,8b,2.7389963749992603,0.4339222800008429,6.312181930353841
llama3.1:8b,5,24,8b,2.7073539639986848,0.6004464629986614,4.5089015105160515
llama3.1:8b,5,26,8b,8.20863898800053,0.5904179079989262,13.903099612648365
llama3.1:8b,5,28,8b,5.507888142999946,0.4362004399990837,12.626966041142728
llama3.1:8b,5,30,8b,2.4717379020003136,0.428034677001051,5.77462069035646
llama3.1:8b,5,32,8b,3.614678641000864,0.4358320600003935,8.293741954177488
llama3.1:8b,5,34,8b,4.735724275000393,0.4371789609995176,10.832461525991913
