model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,1,10,128,0.36757029999989754
llama3.2:3b,CPU,1,10,128,1.5237040510000952
llama3.2:3b,GPU,2,10,128,0.44807380500014915
llama3.2:3b,CPU,2,10,128,1.9271179120000852
llama3.2:3b,GPU,3,10,128,0.40543989499974487
llama3.2:3b,CPU,3,10,128,1.782916355999987
llama3.2:3b,GPU,4,10,128,0.36025900799995725
llama3.2:3b,CPU,4,10,128,1.3958162379999521
llama3.2:3b,GPU,5,10,128,0.4179780370000117
llama3.2:3b,CPU,5,10,128,2.228214549999848
llama3.2:3b,GPU,1,12,128,0.4420119159999558
llama3.2:3b,CPU,1,12,128,1.9803757520003273
llama3.2:3b,GPU,2,12,128,0.4284072680002282
llama3.2:3b,CPU,2,12,128,1.7570613009997942
llama3.2:3b,GPU,3,12,128,0.42893854300018575
llama3.2:3b,CPU,3,12,128,1.9439288170001419
llama3.2:3b,GPU,4,12,128,0.4361083079998025
llama3.2:3b,CPU,4,12,128,1.723538047999682
llama3.2:3b,GPU,5,12,128,0.46853556699988985
llama3.2:3b,CPU,5,12,128,2.084464478999962
llama3.2:3b,GPU,1,14,128,0.23873028600019097
llama3.2:3b,CPU,1,14,128,0.8120268920001763
llama3.2:3b,GPU,2,14,128,0.2550098659999094
llama3.2:3b,CPU,2,14,128,0.7771932989999186
llama3.2:3b,GPU,3,14,128,0.2207104139997682
llama3.2:3b,CPU,3,14,128,0.7700986269996974
llama3.2:3b,GPU,4,14,128,0.21218052599988368
llama3.2:3b,CPU,4,14,128,0.81340999799977
llama3.2:3b,GPU,5,14,128,0.23029115999997885
llama3.2:3b,CPU,5,14,128,0.7800713149999865
llama3.2:3b,GPU,1,16,128,0.37228786500008937
llama3.2:3b,CPU,1,16,128,2.8151372649999757
llama3.2:3b,GPU,2,16,128,0.619223434000105
llama3.2:3b,CPU,2,16,128,1.6807688939998116
llama3.2:3b,GPU,3,16,128,0.646989375999965
llama3.2:3b,CPU,3,16,128,2.95922977500004
llama3.2:3b,GPU,4,16,128,0.39076979100036624
llama3.2:3b,CPU,4,16,128,2.3798068799997054
llama3.2:3b,GPU,5,16,128,0.6445238599999357
llama3.2:3b,CPU,5,16,128,2.7819617400000425
llama3.2:3b,GPU,1,18,128,0.3556274449997545
llama3.2:3b,CPU,1,18,128,2.19423479399984
llama3.2:3b,GPU,2,18,128,0.6749548239999967
llama3.2:3b,CPU,2,18,128,2.169423864000237
llama3.2:3b,GPU,3,18,128,0.46023967199971594
llama3.2:3b,CPU,3,18,128,2.059121482000137
llama3.2:3b,GPU,4,18,128,0.7315660469998875
llama3.2:3b,CPU,4,18,128,2.926705992999814
llama3.2:3b,GPU,5,18,128,0.4262924969998494
llama3.2:3b,CPU,5,18,128,2.931520872999954
llama3.2:3b,GPU,1,20,128,0.423341955000069
llama3.2:3b,CPU,1,20,128,1.871001304999936
llama3.2:3b,GPU,2,20,128,0.5142294549996222
